Instance,Eley2007,Burke2008,Pillay2010,Demeester2012,Abdullah2013,Leite2014,cMA
car91,5.2,4.68,5.05,4.64,4.96,4.45,4.41
car92,4.4,3.92,4.28,3.86,4.16,3.77,3.72
ear83,38.3,32.91,36.49,32.69,34.44,32.69,32.62
hec92,11.4,10.22,11.69,10.06,10.76,10.06,10.05
kfu93,14.9,13.02,14.42,13.24,13.93,13,12.84
lse91,11.7,10.14,10.95,10.21,11.34,9.93,9.81
sta83,157.5,157.05,158.07,157.05,157.22,157.03,157.03
tre92,8.7,7.89,8.45,7.79,8.3,7.8,7.71
uta92,3.5,3.26,3.39,3.17,3.45,3.15,3.04
ute92,27,24.82,27.45,24.88,25.75,24.81,24.83
yor83,40.4,35.16,39.74,34.83,36.71,34.73,34.74
