Instance,Carter96,Yang2005,Eley2007,Burke2008,Burke2010,Pillay2010,Demeester2012,Abdullah2013,Leite2014,cMA
car91,7.1,4.5,5.2,4.58,4.9,4.92,4.52,4.76,4.41,4.37
car92,6.2,3.93,4.3,3.81,4.1,4.22,3.78,3.94,3.75,3.69
ear83,36.4,33.71,36.8,32.65,33.2,35.87,32.49,33.61,32.62,32.48
hec92,10.8,10.83,11.1,10.06,10.3,11.5,10.03,10.56,10.03,10.04
kfu93,14,13.82,14.5,12.81,13.2,14.37,12.9,13.44,12.88,12.82
lse91,10.5,10.35,11.3,9.86,10.4,10.89,10.04,10.87,9.85,9.78
sta83,161.5,158.35,157.3,157.03,156.9,157.81,157.03,157.09,157.03,157.03
tre92,9.6,7.92,8.6,7.72,8.3,8.38,7.69,7.94,7.75,7.67
uta92,3.5,3.14,3.5,3.16,3.3,3.35,3.13,3.27,3.08,3.01
ute92,25.8,25.39,26.4,24.79,24.9,27.24,24.77,25.36,24.78,24.82
yor83,41.7,36.53,39.4,34.78,36.3,39.33,34.64,35.74,34.44,34.51
